user,lat,long
220582584,40,-75.06922221
220689884,39.98268709,-74.86117813
220857323,31.15,-81.5
221249443,41.83047482,-80.62698065
221767765,35.7968,-78.8923
223712054,35.4431,-80.9965
228628905,40,-100
228832947,42.37712,-71.1628999
231076143,41.9653,-91.4097
231860883,39.2864,-76.5933
233044246,31.5075,-82.3117
234979853,51.392,-3.27483
236495358,40.86868642,-73.84669408
238379671,47.8,13.04728
242165607,36.847478,-75.974583
244627772,34.19975051,-81.4690859
246621603,32.2377899,-80.86018
248916090,40.79967,-73.95367
251780578,40.7142,-74.0064
252668237,43.85,-79.0167
254515527,36.88564875,-76.0872
255137259,42.35921704,-71.050005
255562931,45.43436806,12.9667
257728261,45.99376287,-123.9299261
258680541,35.9729,-80.1341
261279180,40.14221,-82.7326077
261880369,42.2751,-82.5833
269865906,36.10969308,-81.42866582
271120011,40.81590536,-73.90179222
271461320,41.2836,-73.79497
272061794,35.82128069,-78.58953215
274213680,34.44,-90.4953
274275156,43.0283,-81.8723
274826710,42.9544,-74.3694
286281555,40,-86.1219
287215853,42.10339,-81.5803121
291636487,59.95,60.60188805
293069219,40.7998735,-73.518038
296025027,35.51835,-80.746036
304710704,35.7219,-83.4993
304825340,37.79987,-122.3842769
312368367,33.94228763,-84.21307108
315296717,40.65,-74.29
318671530,39.19740313,-84.21905425
318738166,35.10074684,-84.43910015
321843137,44.9925,-93.3592
325716745,36.10255224,-81.76589568
325786388,53.8368504,7.767393
336673072,51.50711486,-0.12731805
338108448,41.7648,-87.8061
340413496,40.763186,-73.994508
342414950,33.85790008,-118.0892166
343197788,59.9155184,21.0122287
346846695,40,-74.5
352384250,39.17917928,-76.6688633
353455698,39.90010651,-83.21074361
359161566,41.6657,-80.60766013
364241914,35.21597346,-75.6861303
366102676,33.68799054,-116.3107247
370339216,33.79,-80.20734
370386760,40.83359,139.7455958
378346867,41.0327,-72.208
380930182,51.51314388,-0.12040783
384070788,41.7875083,-81.5139432
386492331,40.2107,-74.74503
389595333,32.84526584,-81.34277778
389783318,39.2903,-76.6125
391047907,40.75772,-73.97759
400125421,42.3646,-71.0569
404311647,40.55613955,-75.308896
404510899,37.4221,-118.25747
409728948,35.0177,-85.1699
419024719,38.9464902,-77.0646701
429292958,57.32652123,-3.515625
439712473,34.2283,-118.243
442049427,34.2752,-81.0352
445155695,36.175,-80.37494
451716895,40.5905,-63.09149936
459498801,43.6819795,-79.61551815
459837492,36.1059,-94.0087
459893508,35.65008,-77.6947
466909255,34.0697,-112.139
473174321,42.36875,-71.0617
507792457,31.8514,-81.54664211
520045897,40.9009819,-74.12397
527006747,41.25702349,-72.94949975
529561683,33.91950241,-83.34684916
543040344,40.76035821,-73.98470163
562543557,32.88,-81.75136903
564058294,33.71630941,-78.88097948
566303369,40.07238409,-75.15954095
569528034,41.4529628,-81.4980649
572736744,39.98644,-81.41
581984326,41.37263424,-81.81599843
586079037,31.57389212,-81.76398754
590266004,31.73139181,-81.49431476
593165309,45.6627,-81.9499
597724943,38.96035,-77.02843
